framework,project,bug_id,first_plausible_patch_try,plausible_patch_count,repair_cost,conversation_length,max_tries,comment
defects4j,Lang,1,-1,0,0,3,10,SKIP: multiple line changes
defects4j,Lang,3,-1,0,0,3,10,SKIP: multiple line changes
defects4j,Lang,4,-1,0,0,3,10,SKIP: multiple line changes
defects4j,Lang,5,-1,0,0,3,10,SKIP: multiple line changes
defects4j,Lang,6,-1,0,3506,3,10,
defects4j,Lang,7,-1,0,0,3,10,SKIP: multiple line changes
defects4j,Lang,8,-1,0,0,3,10,SKIP: multiple line changes
defects4j,Lang,9,-1,0,0,3,10,SKIP: multiple line changes
defects4j,Lang,10,-1,0,0,3,10,SKIP: multiple line changes
defects4j,Lang,11,-1,0,0,3,10,SKIP: multiple line changes
defects4j,Lang,12,-1,0,0,3,10,SKIP: multiple line changes
defects4j,Lang,13,-1,0,0,3,10,SKIP: multiple line changes
defects4j,Lang,14,-1,0,0,3,10,SKIP: multiple line changes
defects4j,Lang,15,-1,0,0,3,10,SKIP: multiple line changes
defects4j,Lang,16,0,4,3561,3,10,
defects4j,Lang,17,-1,0,0,3,10,SKIP: multiple line changes
defects4j,Lang,18,-1,0,0,3,10,SKIP: multiple line changes
defects4j,Lang,19,-1,0,0,3,10,SKIP: multiple line changes
defects4j,Lang,20,-1,0,0,3,10,SKIP: multiple line changes
defects4j,Lang,21,0,1,3373,3,10,
defects4j,Lang,22,-1,0,0,3,10,SKIP: multiple line changes
defects4j,Lang,23,-1,0,0,3,10,SKIP: multiple line changes
defects4j,Lang,24,-1,0,3169,3,10,
defects4j,Lang,25,-1,0,0,3,10,SKIP: multiple line changes
defects4j,Lang,26,-1,0,3354,3,10,
defects4j,Lang,27,-1,0,0,3,10,SKIP: multiple line changes
defects4j,Lang,28,-1,0,0,3,10,SKIP: multiple line changes
defects4j,Lang,29,-1,0,4648,3,10,
defects4j,Lang,30,-1,0,0,3,10,SKIP: multiple line changes
defects4j,Lang,31,-1,0,0,3,10,SKIP: multiple line changes
defects4j,Lang,32,-1,0,0,3,10,SKIP: multiple line changes
defects4j,Lang,33,-1,0,2927,3,10,
defects4j,Lang,34,-1,0,0,3,10,SKIP: multiple line changes
defects4j,Lang,35,-1,0,0,3,10,SKIP: multiple line changes
defects4j,Lang,36,-1,0,0,3,10,SKIP: multiple line changes
defects4j,Lang,37,-1,0,0,3,10,SKIP: multiple line changes
defects4j,Lang,38,-1,0,0,3,10,SKIP: buggy line not found
defects4j,Lang,39,-1,0,0,3,10,SKIP: multiple line changes
defects4j,Lang,40,-1,0,0,3,10,SKIP: multiple line changes
defects4j,Lang,41,-1,0,0,3,10,SKIP: multiple line changes
defects4j,Lang,42,-1,0,0,3,10,SKIP: multiple line changes
defects4j,Lang,43,-1,0,0,3,10,SKIP: buggy line not found
defects4j,Lang,44,-1,0,0,3,10,SKIP: multiple line changes
defects4j,Lang,45,-1,0,0,3,10,SKIP: multiple line changes
defects4j,Lang,46,-1,0,0,3,10,SKIP: multiple line changes
defects4j,Lang,47,-1,0,0,3,10,SKIP: multiple line changes
defects4j,Lang,48,-1,0,0,3,10,SKIP: multiple line changes
defects4j,Lang,49,-1,0,0,3,10,SKIP: multiple line changes
defects4j,Lang,50,-1,0,0,3,10,SKIP: multiple line changes
defects4j,Lang,51,-1,0,0,3,10,SKIP: buggy line not found
defects4j,Lang,52,-1,0,0,3,10,SKIP: multiple line changes
defects4j,Lang,53,-1,0,0,3,10,SKIP: multiple line changes
defects4j,Lang,54,-1,0,0,3,10,SKIP: multiple line changes
defects4j,Lang,55,-1,0,0,3,10,SKIP: buggy line not found
defects4j,Lang,56,-1,0,0,3,10,SKIP: multiple line changes
defects4j,Lang,57,-1,0,0,3,10,SKIP: test line not found
defects4j,Lang,58,-1,0,0,3,10,SKIP: multiple line changes
defects4j,Lang,59,-1,0,0,3,10,SKIP: test line not found
defects4j,Lang,60,-1,0,0,3,10,SKIP: multiple line changes
defects4j,Lang,61,-1,0,0,3,10,SKIP: test line not found
defects4j,Lang,62,-1,0,0,3,10,SKIP: multiple line changes
defects4j,Lang,63,-1,0,0,3,10,SKIP: multiple line changes
defects4j,Lang,64,-1,0,0,3,10,SKIP: multiple line changes
