framework,project,bug_id,bug_type,ppc,rc,fppt,uts,mts,errtf,errce,tpc,comment
defects4j,Math,1,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,2,SL SH SF,104,22499,1,6,55,43,124,391,
defects4j,Math,3,SF,6,16158,1,6,55,5,3,14,
defects4j,Math,4,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,5,SL SH SF,39,17802,1,6,55,30,14,301,
defects4j,Math,6,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,7,SF,0,147041,,50,55,0,313,467,
defects4j,Math,8,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,9,SH SF,0,196307,,50,55,367,1085,3554,
defects4j,Math,10,SL SH SF,22,18205,1,6,55,29,18,101,
defects4j,Math,11,SL SH SF,40,45791,6,11,55,52,158,377,
defects4j,Math,12,SF,0,271283,,50,55,0,1125,1177,
defects4j,Math,13,SF,0,250388,,50,55,163,539,759,
defects4j,Math,14,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,15,SL SH SF,0,171468,,50,55,0,262,534,
defects4j,Math,16,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,17,SF,24,93436,13,18,55,38,429,533,
defects4j,Math,18,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,19,SH SF,22,29774,1,6,55,13,90,125,
defects4j,Math,20,SH SF,59,40329,2,10,55,13,67,260,
defects4j,Math,21,SF,0,123222,,50,55,38,18,69,
defects4j,Math,22,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,23,SF,2,20020,1,6,55,3,2,7,
defects4j,Math,24,SF,2,145518,31,36,55,33,34,73,
defects4j,Math,25,SF,0,125926,,50,55,27,38,69,
defects4j,Math,26,SF,4,44660,11,16,55,33,19,56,
defects4j,Math,27,SL SH SF,3,27273,2,7,55,8,174,623,
defects4j,Math,28,SF,4,18258,1,6,55,3,2,9,
defects4j,Math,29,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,30,SL SH SF,40,21741,1,6,55,3,17,237,
defects4j,Math,31,SF,0,137177,,50,55,63,37,101,
defects4j,Math,32,SL SH SF,36,21586,1,6,55,14,22,207,
defects4j,Math,33,SL SH SF,47,21780,2,7,55,82,18,242,
defects4j,Math,34,SL SH SF,17,19453,1,6,55,23,64,290,
defects4j,Math,35,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,36,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,37,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,38,SF,0,247173,,50,55,0,72,79,
defects4j,Math,39,SH SF,11,59885,11,16,55,17,56,88,
defects4j,Math,40,SF,0,215771,,50,55,2,71,75,
defects4j,Math,41,SL SH SF,9,17649,1,6,55,1,29,282,
defects4j,Math,42,SF,4,79732,21,26,55,56,52,113,
defects4j,Math,43,SF,0,177938,,50,55,241,104,382,
defects4j,Math,44,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,45,SH SF,69,26150,1,6,55,16,82,205,
defects4j,Math,46,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,47,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,48,SH SF,0,185256,,50,55,25,274,313,
defects4j,Math,49,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,50,SH SF,11,20751,1,6,55,8,18,37,
defects4j,Math,51,SF,0,153201,,50,55,0,48,60,
defects4j,Math,52,SF,0,156115,,50,55,6,54,72,
defects4j,Math,53,SH SF,44,18723,1,6,55,10,56,169,
defects4j,Math,54,SL SH SF,0,159021,,50,55,0,513,981,
defects4j,Math,55,SF,0,145975,,50,55,152,78,239,
defects4j,Math,56,SH SF,16,45427,9,14,55,92,48,174,
defects4j,Math,57,SL SH SF,7,10290,1,6,55,3,7,118,
defects4j,Math,58,SL SH SF,46,24740,2,7,55,65,78,285,
defects4j,Math,59,SL SH SF,33,17270,1,6,55,8,2,329,
defects4j,Math,60,SF,13,24736,2,7,55,23,30,66,
defects4j,Math,61,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,62,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,63,SL SH SF,2,23226,1,6,55,103,28,369,
defects4j,Math,64,SF,0,230084,,50,55,0,78,81,
defects4j,Math,65,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,66,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,67,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,68,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,69,SL SH SF,45,19857,1,6,55,32,2,212,
defects4j,Math,70,SL SH SF,33,18605,1,6,55,8,72,265,
defects4j,Math,71,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,72,SF,2,20058,1,6,55,8,25,35,
defects4j,Math,73,SH SF,36,34747,1,6,55,0,128,166,
defects4j,Math,74,SF,0,253138,,50,55,41,85,133,
defects4j,Math,75,SL SH SF,37,57728,7,12,55,156,137,514,
defects4j,Math,76,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,77,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,78,SF,0,162084,,50,55,7,52,65,
defects4j,Math,79,SF,42,21261,1,6,55,29,28,111,
defects4j,Math,80,SL SH SF,28,23010,1,6,55,44,2,284,
defects4j,Math,81,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,82,SL SH SF,71,18298,1,6,55,20,17,265,
defects4j,Math,83,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,84,SF,0,173219,,50,55,1,247,270,
defects4j,Math,85,SL SH SF,50,18463,1,6,55,34,18,155,
defects4j,Math,86,SF,5,48964,11,16,55,31,11,47,
defects4j,Math,87,SF,41,22146,1,6,55,20,31,99,
defects4j,Math,88,SF,9,18343,1,6,55,12,22,43,
defects4j,Math,89,SF,110,26560,1,6,55,30,59,230,
defects4j,Math,90,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,91,SH SF,31,27696,1,6,55,14,190,395,
defects4j,Math,92,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,93,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,94,SL SH SF,11,14389,1,6,55,15,38,150,
defects4j,Math,95,SF,55,25441,1,6,55,29,42,135,
defects4j,Math,96,SL SH SF,8,21816,1,6,55,83,6,226,
defects4j,Math,97,SF,9,81111,21,26,55,44,71,125,
defects4j,Math,98,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,99,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,100,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Math,101,SH SF,8,36252,6,11,55,8,134,276,
defects4j,Math,102,SF,0,164279,,50,55,267,78,349,
defects4j,Math,103,SF,14,37168,3,8,55,39,97,152,
defects4j,Math,104,SL SH SF,0,253197,,50,55,0,1194,1958,
defects4j,Math,105,SL SH SF,33,20665,1,6,55,88,62,433,
defects4j,Math,106,SF,5,28059,5,10,55,11,6,22,
