project,bug_id,filename
Chart,1,Chart_1_2
Chart,3,Chart_3_1
Chart,4,Chart_4_1
Chart,6,Chart_6_0
Chart,7,Chart_7_9
Chart,8,Chart_8_0
Chart,9,Chart_9_1
Chart,11,Chart_11_3
Chart,12,Chart_12_23
Chart,13,Chart_13_2
Chart,17,Chart_17_13
Chart,20,Chart_20_1
Chart,24,Chart_24_0
Chart,26,Chart_26_0
Closure,5,Closure_5_0
Closure,13,Closure_13_0
Closure,15,Closure_15_0
Closure,18,Closure_18_2
Closure,19,Closure_19_1
Closure,31,Closure_31_3
Closure,36,Closure_36_0
Closure,38,Closure_38_7
Closure,44,Closure_44_0
Closure,52,Closure_52_4
Closure,57,Closure_57_0
Closure,61,Closure_61_3
Closure,62,Closure_62_0
Closure,65,Closure_65_0
Closure,70,Closure_70_2
Closure,73,Closure_73_5
Closure,77,Closure_77_2
Closure,78,Closure_78_0
Closure,83,Closure_83_4
Closure,86,Closure_86_3
Closure,92,Closure_92_3
Closure,97,Closure_97_2
Closure,101,Closure_101_2
Closure,102,Closure_102_3
Closure,104,Closure_104_0
Closure,111,Closure_111_7
Closure,114,Closure_114_6
Closure,117,Closure_117_5
Closure,118,Closure_118_0
Closure,119,Closure_119_0
Closure,122,Closure_122_15
Closure,124,Closure_124_3
Closure,126,Closure_126_0
Closure,128,Closure_128_16
Closure,129,Closure_129_11
Closure,152,Closure_152_1
Closure,168,Closure_168_1
Lang,6,Lang_6_9
Lang,11,Lang_11_0
Lang,14,Lang_14_3
Lang,16,Lang_16_2
Lang,21,Lang_21_2
Lang,24,Lang_24_0
Lang,26,Lang_26_1
Lang,33,Lang_33_5
Lang,37,Lang_37_5
Lang,38,Lang_38_0
Lang,40,Lang_40_6
Lang,43,Lang_43_3
Lang,44,Lang_44_0
Lang,45,Lang_45_4
Lang,51,Lang_51_9
Lang,52,Lang_52_6
Lang,53,Lang_53_0
Lang,54,Lang_54_1
Lang,55,Lang_55_0
Lang,57,Lang_57_3
Lang,58,Lang_58_0
Lang,59,Lang_59_1
Lang,61,Lang_61_0
Math,2,Math_2_2
Math,3,Math_3_4
Math,5,Math_5_7
Math,10,Math_10_2
Math,11,Math_11_1
Math,19,Math_19_21
Math,20,Math_20_18
Math,23,Math_23_1
Math,25,Math_25_4
Math,26,Math_26_0
Math,27,Math_27_0
Math,30,Math_30_13
Math,32,Math_32_14
Math,33,Math_33_10
Math,34,Math_34_10
Math,41,Math_41_0
Math,45,Math_45_5
Math,53,Math_53_14
Math,57,Math_57_1
Math,59,Math_59_0
Math,60,Math_60_0
Math,63,Math_63_1
Math,69,Math_69_0
Math,70,Math_70_2
Math,73,Math_73_7
Math,79,Math_79_5
Math,80,Math_80_1
Math,82,Math_82_0
Math,85,Math_85_3
Math,87,Math_87_29
Math,89,Math_89_50
Math,91,Math_91_19
Math,94,Math_94_3
Math,95,Math_95_12
Math,96,Math_96_0
Math,101,Math_101_6
Math,102,Math_102_5
Math,105,Math_105_16
Mockito,5,Mockito_5_10
Mockito,12,Mockito_12_28
Mockito,13,Mockito_13_1
Mockito,22,Mockito_22_5
Mockito,24,Mockito_24_0
Mockito,26,Mockito_26_5
Mockito,28,Mockito_28_3
Mockito,29,Mockito_29_7
Mockito,33,Mockito_33_8
Mockito,34,Mockito_34_7
Mockito,38,Mockito_38_3
Time,4,Time_4_0
Time,5,Time_5_3
Time,7,Time_7_0
Time,15,Time_15_9
Time,16,Time_16_12
Time,18,Time_18_2
Time,19,Time_19_1
Time,20,Time_20_3
