framework,project,bug_id,bug_type,ppc,rc,fppt,uts,mts,errtf,errce,tpc,comment
defects4j,Chart,1,SL SH SF,105,19691,1,6,135,2,21,325,
defects4j,Chart,2,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,3,SH SF,13,245963,51,56,135,389,960,1769,
defects4j,Chart,4,SF,3,15405,1,6,135,0,6,9,
defects4j,Chart,5,SF,4,17881,1,6,135,13,18,35,
defects4j,Chart,6,SH SF,40,26472,1,6,135,29,55,228,
defects4j,Chart,7,SF,10,15724,1,6,135,1,2,13,
defects4j,Chart,8,SL SH SF,45,21537,1,6,135,2,60,302,
defects4j,Chart,9,SL SH SF,81,16524,1,6,135,29,16,278,
defects4j,Chart,10,SL SH SF,62,39335,2,10,135,3,100,546,
defects4j,Chart,11,SL SH SF,12,15052,1,6,135,19,20,214,
defects4j,Chart,12,SL SH SF,25,21135,1,6,135,17,67,351,
defects4j,Chart,13,SL SH SF,33,18866,1,6,135,10,34,151,
defects4j,Chart,14,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,15,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,16,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,17,SH SF,17,28825,2,7,135,22,165,381,
defects4j,Chart,18,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,19,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,20,SL SH SF,26,20502,1,6,135,13,24,363,
defects4j,Chart,21,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,22,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,23,SH SF,0,685395,,130,135,0,4000,4978,
defects4j,Chart,24,SL SH SF,40,34980,2,10,135,8,86,321,
defects4j,Chart,25,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,26,SF,2,60776,11,16,135,0,18,20,
defects4j,Closure,1,SH SF,0,598035,,130,135,105,2637,2941,
defects4j,Closure,2,SF,15,18635,1,6,135,2,36,55,
defects4j,Closure,3,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,4,SF,0,422147,,130,135,507,420,945,
defects4j,Closure,5,SH SF,4,70304,12,17,135,19,167,194,
defects4j,Closure,6,OT,,,,,,,,,"Not SL, SH or SF bug. "
