project,bug,file_name
Chart,1,Chart_1_0.diff
Math,2,Math_2_2.diff
Math,3,Math_3_0.diff
Chart,4,Chart_4_1.diff
Time,4,Time_4_0.diff
Math,5,Math_5_0.diff
Chart,7,Chart_7_0.diff
Chart,8,Chart_8_0.diff
Chart,9,Chart_9_1.diff
Chart,11,Chart_11_0.diff
Chart,12,Chart_12_1.diff
Mockito,12,Mockito_12_13.diff
Closure,15,Closure_15_0.diff
Time,15,Time_15_0.diff
Lang,16,Lang_16_1.diff
Time,16,Time_16_12.diff
Closure,18,Closure_18_0.diff
Closure,19,Closure_19_1.diff
Time,19,Time_19_1.diff
Chart,20,Chart_20_0.diff
Lang,21,Lang_21_0.diff
Chart,24,Chart_24_0.diff
Lang,24,Lang_24_0.diff
Mockito,24,Mockito_24_24.diff
Chart,26,Chart_26_1.diff
Mockito,26,Mockito_26_0.diff
Mockito,29,Mockito_29_10.diff
Closure,31,Closure_31_3.diff
Lang,33,Lang_33_19.diff
Mockito,34,Mockito_34_4.diff
Mockito,38,Mockito_38_3.diff
Math,41,Math_41_0.diff
Lang,43,Lang_43_3.diff
Closure,44,Closure_44_1.diff
Lang,45,Lang_45_11.diff
Lang,51,Lang_51_0.diff
Lang,52,Lang_52_0.diff
Lang,53,Lang_53_0.diff
Lang,55,Lang_55_0.diff
Closure,57,Closure_57_0.diff
Math,57,Math_57_1.diff
Lang,59,Lang_59_1.diff
Lang,61,Lang_61_0.diff
Closure,62,Closure_62_0.diff
Math,69,Math_69_0.diff
Closure,70,Closure_70_2.diff
Math,70,Math_70_2.diff
Closure,78,Closure_78_0.diff
Math,79,Math_79_3.diff
Math,80,Math_80_1.diff
Math,82,Math_82_0.diff
Math,85,Math_85_0.diff
Closure,86,Closure_86_0.diff
Math,89,Math_89_4.diff
Math,91,Math_91_19.diff
Closure,92,Closure_92_0.diff
Math,94,Math_94_0.diff
Closure,101,Closure_101_13.diff
Closure,102,Closure_102_3.diff
Closure,104,Closure_104_0.diff
Math,105,Math_105_16.diff
Closure,114,Closure_114_6.diff
Closure,117,Closure_117_0.diff
Closure,118,Closure_118_0.diff
Closure,119,Closure_119_0.diff
Closure,126,Closure_126_0.diff
Closure,129,Closure_129_3.diff
Closure,152,Closure_152_1.diff
Closure,168,Closure_168_1.diff
