framework,project,bug_id,bug_type,ppc,rc,fppt,uts,mts,errtf,errce,tpc,comment
defects4j,Closure,1,SH SF,0,322062,,70,75,49,1434,1571,
defects4j,Closure,2,SF,15,18635,1,6,75,2,36,55,
defects4j,Closure,3,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,4,SF,0,226090,,70,75,263,235,508,
defects4j,Closure,5,SH SF,4,70304,12,17,75,19,167,194,
defects4j,Closure,6,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,7,SF,33,21527,1,6,75,29,41,106,
defects4j,Closure,8,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,9,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,10,SL SH SF,59,23544,1,6,75,28,164,441,
defects4j,Closure,11,SH SF,0,344048,,70,75,0,2471,3355,
defects4j,Closure,12,SH SF,31,76277,17,22,75,37,463,556,
defects4j,Closure,13,SF,16,19270,1,6,75,20,29,70,
defects4j,Closure,14,SL SH SF,0,228939,,70,75,344,250,679,
defects4j,Closure,15,SH SF,26,31707,1,6,75,44,196,281,
defects4j,Closure,16,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,17,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,18,SL SH SF,11,14367,1,6,75,8,17,71,
defects4j,Closure,19,SF,24,20450,1,6,75,4,30,58,
defects4j,Closure,20,SH SF,24,42988,3,10,75,31,193,317,
defects4j,Closure,21,SF,0,192604,,70,75,54,118,176,
defects4j,Closure,22,SF,0,180760,,70,75,60,92,154,
defects4j,Closure,23,SF,0,204784,,70,75,183,162,352,
defects4j,Closure,24,SF,0,232119,,70,75,229,200,433,
defects4j,Closure,25,SF,0,213813,,70,75,177,271,449,
defects4j,Closure,26,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,27,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,28,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,29,SF,0,186727,,70,75,53,65,121,
defects4j,Closure,30,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,31,SL SH SF,25,21046,2,7,75,17,48,129,
defects4j,Closure,32,SF,0,203735,,70,75,78,84,164,
defects4j,Closure,33,SH SF,0,279550,,70,75,450,889,1776,
defects4j,Closure,34,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,35,SH SF,0,224333,,70,75,59,906,1125,
defects4j,Closure,36,SH SF,3,107780,24,29,75,30,520,564,
defects4j,Closure,37,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,38,SL SH SF,38,25351,3,8,75,100,51,357,
defects4j,Closure,39,SF,0,216629,,70,75,164,178,370,
defects4j,Closure,40,SF,0,247200,,70,75,148,185,359,
defects4j,Closure,41,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,42,SF,0,248178,,70,75,0,150,155,
defects4j,Closure,43,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,44,SF,30,19892,1,6,75,11,22,65,
defects4j,Closure,45,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,46,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,47,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,48,SF,0,385008,,70,75,70,98,205,
defects4j,Closure,49,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,50,SF,0,186197,,70,75,32,91,137,
defects4j,Closure,51,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,52,SL SH SF,54,19034,1,6,75,27,36,244,
defects4j,Closure,53,SF,0,200997,,70,75,85,172,258,
defects4j,Closure,54,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,55,SH SF,60,32824,1,6,75,34,114,223,
defects4j,Closure,56,SF,11,15017,1,6,75,16,14,41,
defects4j,Closure,57,SL SH SF,7,16735,1,6,75,7,52,367,
defects4j,Closure,58,SF,0,194009,,70,75,54,107,171,
defects4j,Closure,59,SH SF,0,234407,,70,75,235,729,1512,
