framework,project,bug_id,bug_type,SL_ppc,SL_rc,SL_fppt,SL_fppcl,SL_uts,SL_mts,SL_errtf,SL_errce,SL_tpc,SH_ppc,SH_rc,SH_fppt,SH_fppcl,SH_uts,SH_mts,SH_errtf,SH_errce,SH_tpc,SF_ppc,SF_rc,SF_fppt,SF_fppcl,SF_uts,SF_mts,SF_errtf,SF_errce,SF_tpc,max_conv_length,comment
defects4j,Chart,1,SL SH SF,1,603,1,1,1,200,0,0,1,0,176849,,,200,200,0,200,200,1,781,1,1,1,100,0,0,1,3,
defects4j,Chart,2,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Chart,3,SH SF,,,,,,,,,,0,159906,,,200,200,100,100,200,0,105884,,,100,100,48,52,100,3,
defects4j,Chart,4,SF,,,,,,,,,,,,,,,,,,,1,7799,4,1,4,100,2,1,4,3,
defects4j,Chart,5,SF,,,,,,,,,,,,,,,,,,,1,34606,25,1,25,100,10,14,25,3,
defects4j,Chart,6,SH SF,,,,,,,,,,1,72962,114,3,114,200,39,74,114,1,14397,20,2,20,100,9,10,20,3,
defects4j,Chart,7,SF,,,,,,,,,,,,,,,,,,,1,11086,6,3,6,100,2,3,6,3,
defects4j,Chart,8,SL SH SF,1,402,1,1,1,200,0,0,1,1,411,1,1,1,200,0,0,1,1,3409,7,1,7,100,0,6,7,3,
defects4j,Chart,9,SL SH SF,1,678,1,1,1,200,0,0,1,1,3209,4,1,4,200,1,2,4,1,971,1,1,1,100,0,0,1,3,
defects4j,Chart,10,SL SH SF,0,100437,,,200,200,0,200,200,1,92102,157,1,157,200,0,156,157,1,8214,14,2,14,100,0,13,14,3,
defects4j,Chart,11,SL SH SF,1,637,1,1,1,200,0,0,1,1,631,1,1,1,200,0,0,1,1,854,1,1,1,100,0,0,1,3,
defects4j,Chart,12,SL SH SF,1,36998,55,1,55,200,14,40,55,1,4995,8,2,8,200,1,6,8,1,3526,4,1,4,100,0,3,4,3,
defects4j,Chart,13,SL SH SF,1,1125,1,1,1,200,0,0,1,1,1141,1,1,1,200,0,0,1,1,25278,10,1,10,100,3,6,10,3,
defects4j,Chart,14,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Chart,15,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Chart,16,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Chart,17,SH SF,,,,,,,,,,0,112189,,,200,200,8,192,200,1,8530,14,2,14,100,9,4,14,3,
