framework,project,bug_id,bug_type,SL_ppc,SL_rc,SL_fppt,SL_fppcl,SL_uts,SL_mts,SL_errtf,SL_errce,SL_tpc,SH_ppc,SH_rc,SH_fppt,SH_fppcl,SH_uts,SH_mts,SH_errtf,SH_errce,SH_tpc,SF_ppc,SF_rc,SF_fppt,SF_fppcl,SF_uts,SF_mts,SF_errtf,SF_errce,SF_tpc,max_conv_length,comment
defects4j,Chart,1,SL SH SF,43,263426,1,1,200,200,1,35,200,0,176849,,,200,200,0,200,200,18,370929,1,1,100,100,1,79,100,3,
defects4j,Chart,2,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Chart,3,SH SF,,,,,,,,,,0,159906,,,200,200,100,100,200,0,105884,,,100,100,48,52,100,3,
defects4j,Chart,4,SF,,,,,,,,,,,,,,,,,,,5,395868,4,1,100,100,2,93,100,3,
defects4j,Chart,5,SF,,,,,,,,,,,,,,,,,,,8,269294,25,1,100,100,27,65,100,3,
defects4j,Chart,6,SH SF,,,,,,,,,,30,263605,114,3,200,200,53,115,200,27,240151,20,2,100,100,17,54,100,3,
defects4j,Chart,7,SF,,,,,,,,,,,,,,,,,,,8,386142,6,3,100,100,2,90,100,3,
defects4j,Chart,8,SL SH SF,23,137279,1,1,200,200,7,76,200,9,88617,1,1,200,200,1,181,200,11,50530,7,1,100,100,0,77,100,3,
defects4j,Chart,9,SL SH SF,64,296733,1,1,200,200,14,13,200,24,136980,4,1,200,200,4,161,200,16,322902,1,1,100,100,29,55,100,3,
defects4j,Chart,10,SL SH SF,0,100437,,,200,200,0,200,200,4,106858,157,1,200,200,1,195,200,27,197236,14,2,100,100,0,72,100,3,
defects4j,Chart,11,SL SH SF,1,97013,1,1,200,200,116,11,200,2,105058,1,1,200,200,19,79,200,14,382432,1,1,100,100,0,85,100,3,
defects4j,Chart,12,SL SH SF,10,107544,55,1,200,200,17,59,200,36,376293,8,2,200,200,12,106,200,20,278658,4,1,100,100,3,65,100,3,
defects4j,Chart,13,SL SH SF,28,351420,1,1,200,200,1,92,200,30,364442,1,1,200,200,7,63,200,4,385000,10,1,100,100,6,89,100,3,
defects4j,Chart,14,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Chart,15,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Chart,16,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Chart,17,SH SF,,,,,,,,,,0,112189,,,200,200,8,192,200,52,231159,14,2,100,100,15,24,100,3,
defects4j,Chart,18,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
