framework,project,bug_id,bug_type,SL_ppc,SL_rc,SL_fppt,SL_fppcl,SL_uts,SL_mts,SL_errtf,SL_errce,SL_tpc,SH_ppc,SH_rc,SH_fppt,SH_fppcl,SH_uts,SH_mts,SH_errtf,SH_errce,SH_tpc,SF_ppc,SF_rc,SF_fppt,SF_fppcl,SF_uts,SF_mts,SF_errtf,SF_errce,SF_tpc,max_conv_length,comment
humanevaljava,humaneval,ADD_ELEMENTS,SH SF,,,,,,,,,,0,115088,,,200,200,10,190,200,0,57537,,,100,100,99,1,100,3,
humanevaljava,humaneval,ADD_EVEN_AT_ODD,SL SH SF,1,67056,1,1,200,200,44,155,200,1,68906,4,1,200,200,30,169,200,22,150956,1,1,100,100,25,2,100,3,
humanevaljava,humaneval,ADD,SL SH SF,61,194382,1,1,200,200,2,14,200,60,516286,1,1,200,200,4,98,200,49,292681,1,1,100,100,1,46,100,3,
humanevaljava,humaneval,ALL_PREFIXES,SL SH SF,1,56952,1,1,200,200,185,14,200,5,70961,1,1,200,200,109,5,200,34,132127,1,1,100,100,58,2,100,3,
humanevaljava,humaneval,ANTI_SHUFFLE,SF,,,,,,,,,,,,,,,,,,,38,306304,1,1,100,100,1,57,100,3,
humanevaljava,humaneval,ANY_INT,SH SF,,,,,,,,,,0,120363,,,200,200,0,200,200,42,309825,2,2,100,100,5,45,100,3,
humanevaljava,humaneval,BELOW_THRESHOLD,SF,,,,,,,,,,,,,,,,,,,1,53744,66,3,100,100,82,17,100,3,
humanevaljava,humaneval,BELOW_ZERO,SF,,,,,,,,,,,,,,,,,,,48,196113,10,1,100,100,36,5,100,3,
humanevaljava,humaneval,BF,SH SF,,,,,,,,,,33,214140,151,1,200,200,144,13,200,18,367393,3,3,100,100,3,79,100,3,
humanevaljava,humaneval,BY_LENGTH,SL SH SF,15,134765,1,1,200,200,0,10,200,12,140577,1,1,200,200,0,86,200,19,333913,1,1,100,100,12,66,100,3,
humanevaljava,humaneval,CAN_ARRANGE,SH SF,,,,,,,,,,0,122247,,,200,200,1,199,200,0,65079,,,100,100,86,14,100,3,
humanevaljava,humaneval,CAR_RACE_COLLISION,SL SH SF,1,55680,47,2,200,200,141,58,200,0,109992,,,200,200,29,171,200,0,47861,,,100,100,53,47,100,3,
humanevaljava,humaneval,CHANGE_BASE,SH SF,,,,,,,,,,16,109664,1,1,200,200,3,1,200,31,343726,1,1,100,100,0,68,100,3,
humanevaljava,humaneval,CHECK_DICT_CASE,SH SF,,,,,,,,,,0,144837,,,200,200,39,161,200,22,343666,2,2,100,100,15,63,100,3,
humanevaljava,humaneval,CHECK_IF_LAST_CHAR_IS_A_LETTER,SH SF,,,,,,,,,,0,147751,,,200,200,168,32,200,0,71081,,,100,100,91,9,100,3,
humanevaljava,humaneval,CHOOSE_NUM,SL SH SF,3,60583,1,1,200,200,194,3,200,1,58861,1,1,200,200,172,27,200,0,51130,,,100,100,86,14,100,3,
humanevaljava,humaneval,CIRCULAR_SHIFT,SL SH SF,69,572657,1,1,200,200,6,81,200,50,713167,1,1,200,200,1,147,200,28,310866,1,1,100,100,23,49,100,3,
humanevaljava,humaneval,CLOSEST_INTEGER,SH SF,,,,,,,,,,0,141074,,,200,200,15,185,200,25,314648,10,1,100,100,15,60,100,3,
humanevaljava,humaneval,COMMON,SL SH SF,1,91865,56,2,200,200,110,89,200,1,129651,150,3,200,200,118,81,200,26,330322,4,1,100,100,12,59,100,3,
humanevaljava,humaneval,COMPARE_ONE,SH SF,,,,,,,,,,26,730208,1,1,200,200,9,160,200,14,381456,1,1,100,100,3,83,100,3,
humanevaljava,humaneval,COMPARE,SL SH SF,0,119746,,,200,200,134,66,200,0,122503,,,200,200,139,61,200,2,52490,38,2,100,100,93,3,100,3,
humanevaljava,humaneval,CONCATENATE,SL SH SF,2,52198,1,1,200,200,28,170,200,3,59281,1,1,200,200,32,114,200,48,290509,1,1,100,100,1,27,100,3,
