project,bug_id,filename
Chart,1,Chart_1_SL_0
Chart,4,Chart_4_SF_1
Chart,6,Chart_6_SH_0
Chart,7,Chart_7_SF_1
Chart,8,Chart_8_SH_2
Chart,9,Chart_9_SL_0
Chart,11,Chart_11_SH_0
Chart,12,Chart_12_SL_0
Chart,13,Chart_13_SH_5
Chart,20,Chart_20_SL_0
Chart,24,Chart_24_SF_1
Chart,26,Chart_26_SF_1
Closure,5,Closure_5_SH_5
Closure,13,Closure_13_SF_0
Closure,14,Closure_14_SL_0
Closure,18,Closure_18_SH_10
Closure,19,Closure_19_SF_0
Closure,31,Closure_31_SL_10
Closure,36,Closure_36_SF_0
Closure,44,Closure_44_SF_10
Closure,52,Closure_52_SL_0
Closure,56,Closure_56_SF_1
Closure,57,Closure_57_SL_0
Closure,59,Closure_59_SH_0
Closure,61,Closure_61_SF_0
Closure,62,Closure_62_SL_0
Closure,65,Closure_65_SL_0
Closure,67,Closure_67_SL_0
Closure,70,Closure_70_SL_11
Closure,73,Closure_73_SF_0
Closure,77,Closure_77_SH_1
Closure,78,Closure_78_SF_4
Closure,83,Closure_83_SH_9
Closure,86,Closure_86_SL_0
Closure,92,Closure_92_SH_0
Closure,97,Closure_97_SH_23
Closure,101,Closure_101_SF_0
Closure,104,Closure_104_SH_2
Closure,119,Closure_119_SL_0
Closure,124,Closure_124_SF_16
Closure,125,Closure_125_SL_24
Closure,128,Closure_128_SF_11
Closure,129,Closure_129_SF_0
Closure,152,Closure_152_SF_0
Closure,168,Closure_168_SL_2
Lang,3,Lang_3_SF_0
Lang,11,Lang_11_SF_0
Lang,14,Lang_14_SF_0
Lang,16,Lang_16_SH_0
Lang,21,Lang_21_SH_3
Lang,24,Lang_24_SL_27
Lang,26,Lang_26_SH_1
Lang,33,Lang_33_SL_4
Lang,37,Lang_37_SF_1
Lang,38,Lang_38_SH_1
Lang,40,Lang_40_SF_3
Lang,43,Lang_43_SH_0
Lang,44,Lang_44_SH_9
Lang,45,Lang_45_SH_1
Lang,51,Lang_51_SL_0
Lang,52,Lang_52_SH_6
Lang,53,Lang_53_SF_1
Lang,55,Lang_55_SF_0
Lang,57,Lang_57_SL_2
Lang,58,Lang_58_SH_1
Lang,59,Lang_59_SF_0
Lang,61,Lang_61_SL_0
Math,2,Math_2_SL_0
Math,3,Math_3_SF_0
Math,5,Math_5_SL_0
Math,10,Math_10_SL_0
Math,11,Math_11_SL_8
Math,19,Math_19_SH_1
Math,20,Math_20_SF_0
Math,23,Math_23_SF_0
Math,24,Math_24_SF_0
Math,26,Math_26_SF_0
Math,27,Math_27_SH_7
Math,30,Math_30_SH_14
Math,32,Math_32_SL_26
Math,33,Math_33_SL_25
Math,34,Math_34_SH_8
Math,39,Math_39_SH_23
Math,41,Math_41_SL_0
Math,45,Math_45_SH_0
Math,53,Math_53_SH_1
Math,56,Math_56_SF_7
Math,57,Math_57_SH_3
Math,59,Math_59_SH_2
Math,60,Math_60_SF_0
Math,69,Math_69_SL_8
Math,70,Math_70_SL_10
Math,73,Math_73_SH_15
Math,79,Math_79_SF_0
Math,80,Math_80_SH_1
Math,82,Math_82_SH_0
Math,85,Math_85_SL_14
Math,89,Math_89_SF_54
Math,91,Math_91_SH_18
Math,94,Math_94_SL_4
Math,96,Math_96_SL_14
Math,101,Math_101_SF_1
Math,105,Math_105_SL_5
Math,106,Math_106_SF_1
Mockito,8,Mockito_8_SF_0
Mockito,12,Mockito_12_SF_3
Mockito,13,Mockito_13_SF_6
Mockito,22,Mockito_22_SF_17
Mockito,24,Mockito_24_SL_0
Mockito,26,Mockito_26_SH_0
Mockito,29,Mockito_29_SL_3
Mockito,34,Mockito_34_SL_3
Mockito,38,Mockito_38_SL_27
Time,4,Time_4_SL_5
Time,15,Time_15_SF_0
Time,18,Time_18_SF_3
Time,19,Time_19_SL_1
