framework,project,bug_id,bug_type,SL_ppc,SL_rc,SL_fppt,SL_fppcl,SL_uts,SL_mts,SL_errtf,SL_errce,SH_ppc,SH_rc,SH_fppt,SH_fppcl,SH_uts,SH_mts,SH_errtf,SH_errce,SF_ppc,SF_rc,SF_fppt,SF_fppcl,SF_uts,SF_mts,SF_errtf,SF_errce,max_conv_length,comment
defects4j,Mockito,1,SH SF,,,,,,,,,20,618358,42,3,200,200,21,159,18,333539,4,1,100,100,8,74,3,
defects4j,Mockito,2,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Mockito,3,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Mockito,4,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Mockito,5,SL SH SF,0,126886,,,200,200,1,199,0,140497,,,200,200,0,200,0,86612,,,100,100,20,80,3,
defects4j,Mockito,6,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Mockito,7,SL SH SF,0,115841,,,200,200,27,173,0,120241,,,200,200,83,117,0,64821,,,100,100,50,50,3,
defects4j,Mockito,8,SL SH SF,14,169262,177,3,200,200,63,120,0,172655,,,200,200,0,200,1,118250,85,1,100,100,12,87,3,Fixed Patch
defects4j,Mockito,9,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Mockito,10,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Mockito,11,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Mockito,12,SF,,,,,,,,,,,,,,,,,29,275918,1,1,100,100,32,37,3,Fixed Patch
defects4j,Mockito,13,SF,,,,,,,,,,,,,,,,,8,385205,1,1,100,100,4,88,3,
defects4j,Mockito,14,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Mockito,15,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Mockito,16,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Mockito,17,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Mockito,18,SH SF,,,,,,,,,0,104228,,,200,200,0,200,0,45578,,,100,100,0,100,3,
defects4j,Mockito,19,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Mockito,20,SF,,,,,,,,,,,,,,,,,0,157318,,,100,100,21,79,3,
defects4j,Mockito,21,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Mockito,22,SH SF,,,,,,,,,0,133441,,,200,200,1,199,20,136981,1,1,100,100,44,26,3,Fixed Patch
defects4j,Mockito,23,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Mockito,24,SL SH SF,14,124500,2,2,200,200,169,17,43,605995,4,1,200,200,54,94,18,350582,1,1,100,100,17,65,3,Fixed Patch
defects4j,Mockito,25,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Mockito,26,SL SH SF,0,157775,,,200,200,180,20,1,149981,170,2,200,200,168,31,1,136956,97,1,100,100,14,85,3,Fixed Patch
defects4j,Mockito,27,SH SF,,,,,,,,,0,133515,,,200,200,20,180,0,79845,,,100,100,11,89,3,
defects4j,Mockito,28,SH SF,,,,,,,,,0,126166,,,200,200,1,199,19,314225,6,3,100,100,17,63,3,Fixed Patch
defects4j,Mockito,29,SL SH SF,19,112812,1,1,200,200,47,16,20,106086,1,1,200,200,138,18,44,219351,1,1,100,100,19,12,3,Fixed Patch
defects4j,Mockito,30,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Mockito,31,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Mockito,32,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Mockito,33,SF,,,,,,,,,,,,,,,,,23,290127,7,1,100,100,6,70,3,Fixed Patch
defects4j,Mockito,34,SL SH SF,12,98991,1,1,200,200,25,21,0,124044,,,200,200,0,200,38,319336,1,1,100,100,6,51,3,Fixed Patch
defects4j,Mockito,35,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Mockito,36,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Mockito,37,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Mockito,38,SL SH SF,51,255527,4,1,200,200,16,49,50,255935,16,1,133,200,24,53,29,326789,1,1,100,100,2,69,3,Fixed Patch
