project,bug,file_name
Chart,1,Chart_1_SF_0.diff
Math,3,Math_3_SF_0.diff
Time,4,Time_4_SL_0.diff
Math,5,Math_5_SF_0.diff
Chart,7,Chart_7_SF_0.diff
Chart,8,Chart_8_SF_0.diff
Chart,9,Chart_9_SL_0.diff
Chart,11,Chart_11_SF_0.diff
Closure,14,Closure_14_SL_0.diff
Lang,16,Lang_16_SF_0.diff
Closure,18,Closure_18_SH_10.diff
Closure,19,Closure_19_SF_0.diff
Time,19,Time_19_SH_0.diff
Chart,20,Chart_20_SF_0.diff
Lang,21,Lang_21_SH_0.diff
Chart,24,Chart_24_SF_0.diff
Lang,24,Lang_24_SH_1.diff
Chart,26,Chart_26_SF_0.diff
Mockito,29,Mockito_29_SF_4.diff
Lang,33,Lang_33_SF_0.diff
Math,33,Math_33_SL_25.diff
Closure,36,Closure_36_SF_0.diff
Math,41,Math_41_SH_0.diff
Closure,44,Closure_44_SF_1.diff
Lang,51,Lang_51_SL_0.diff
Closure,52,Closure_52_SL_0.diff
Lang,52,Lang_52_SF_0.diff
Lang,55,Lang_55_SF_0.diff
Closure,57,Closure_57_SL_0.diff
Math,57,Math_57_SH_0.diff
Closure,59,Closure_59_SH_0.diff
Lang,59,Lang_59_SF_0.diff
Lang,61,Lang_61_SH_0.diff
Closure,62,Closure_62_SH_0.diff
Closure,67,Closure_67_SL_0.diff
Math,69,Math_69_SL_8.diff
Closure,70,Closure_70_SH_0.diff
Math,70,Math_70_SL_10.diff
Closure,78,Closure_78_SF_0.diff
Math,79,Math_79_SF_0.diff
Math,80,Math_80_SH_1.diff
Math,82,Math_82_SH_0.diff
Closure,86,Closure_86_SL_0.diff
Math,91,Math_91_SH_18.diff
Closure,92,Closure_92_SH_0.diff
Math,94,Math_94_SF_0.diff
Math,96,Math_96_SL_0.diff
Closure,101,Closure_101_SF_0.diff
Math,105,Math_105_SL_0.diff
Math,106,Math_106_SF_0.diff
Closure,119,Closure_119_SL_0.diff
Closure,129,Closure_129_SF_0.diff
Closure,168,Closure_168_SL_2.diff
